scheme,bits,lam,op,warmup,rep,elapsed_ns,icert_len_bytes
schnorr,2048,128,iCertGen,1,0,1255700,44
schnorr,2048,128,SKGen,1,0,69300,44
schnorr,2048,128,PKRecon,1,0,5563200,44
schnorr,2048,128,iCertGen,1,1,1220000,44
schnorr,2048,128,SKGen,1,1,66000,44
schnorr,2048,128,PKRecon,1,1,5220600,44
schnorr,2048,128,iCertGen,1,2,1170700,44
schnorr,2048,128,SKGen,1,2,65100,44
schnorr,2048,128,PKRecon,1,2,5209100,44
schnorr,2048,128,iCertGen,0,0,1172400,44
schnorr,2048,128,SKGen,0,0,58900,44
schnorr,2048,128,PKRecon,0,0,5146100,44
schnorr,2048,128,iCertGen,0,1,1211200,44
schnorr,2048,128,SKGen,0,1,56500,44
schnorr,2048,128,PKRecon,0,1,4967300,44
schnorr,2048,128,iCertGen,0,2,1225800,44
schnorr,2048,128,SKGen,0,2,56400,44
schnorr,2048,128,PKRecon,0,2,5213300,44
schnorr,2048,128,iCertGen,0,3,1185700,44
schnorr,2048,128,SKGen,0,3,57800,44
schnorr,2048,128,PKRecon,0,3,5108800,44
schnorr,2048,128,iCertGen,0,4,1238000,44
schnorr,2048,128,SKGen,0,4,59500,44
schnorr,2048,128,PKRecon,0,4,5188500,44
schnorr,2048,128,iCertGen,0,5,1150900,44
schnorr,2048,128,SKGen,0,5,60000,44
schnorr,2048,128,PKRecon,0,5,5177400,44
schnorr,2048,128,iCertGen,0,6,1174200,44
schnorr,2048,128,SKGen,0,6,56900,44
schnorr,2048,128,PKRecon,0,6,5138600,44
schnorr,2048,128,iCertGen,0,7,1188900,44
schnorr,2048,128,SKGen,0,7,55400,44
schnorr,2048,128,PKRecon,0,7,5001700,44
schnorr,2048,128,iCertGen,0,8,1138800,44
schnorr,2048,128,SKGen,0,8,57800,44
schnorr,2048,128,PKRecon,0,8,5147800,44
schnorr,2048,128,iCertGen,0,9,1175600,44
schnorr,2048,128,SKGen,0,9,60300,44
schnorr,2048,128,PKRecon,0,9,5237700,44
